단어	빈도
골든	1
트립	1
일상	1
의미	1
종이	1
나드리	1
여수인	1
잔치국수	1
법주	1
초초	1
보험	1
경험담	1
자문	1
알짜배기	1
여행자	1
톨게이트	1
이때	1
지적	1
대전	1
수정	1
움직임	1
해용	1
분실	1
덕분	1
밀면	1
아내	1
매년	1
마련	1
추도	1
종합	1
수요일	1
휴식	1
비추	1
힐튼	1
답사	1
호미	1
바랄	1
겹벚꽃	1
보문호	1
쿠팡	1
콩코드	1
패키지	1
무리수	1
길안	1
오랫동안	1
김유신	1
장군	1
담주	1
나만	1
피처	1
용시	1
적극	1
가여	1
출처	1
렌터카	1
목적지	1
카메라	1
과학관	1
감은사지	1
삼층석탑	1
폴라로이드	1
매일	1
최소	1
인치	1
만용	1
폐장	1
버꾸	1
파일	1
스타	1
벅스	1
건강	1
원점	1
요동	1
우양	1
개방	1
조금	1
시험	1
평지	1
월드컵	1
업장	1
활동	1
아파트	1
갑부	1
국사	1
용기	1
고의	1
유산	1
수면	1
클릭	1
천해	1
원추	1
미술관	1
고객	1
커피	1
분만	1
초반	1
경량	1
코트	1
미온수	1
크기	1
버블	1
테디	1
타임	1
왕자	1
댕댕이	1
중점	1
미디어	1
궁터	1
최초	1
서경	1
